endpoint,clarification,database,matched_type,matched_count
AD_CATMoS,"Applicability-domain outcome for CATMoS models (inside/outside domain, OPERA)",ToxValDB (local SQLite),sub chronic toxicity,42
AD_CATMoS,"Applicability-domain outcome for CATMoS models (inside/outside domain, OPERA)",ToxValDB (local SQLite),developmental toxicity,25
AD_CATMoS,"Applicability-domain outcome for CATMoS models (inside/outside domain, OPERA)",ToxValDB (local SQLite),neurotoxicity,18
AD_CATMoS,"Applicability-domain outcome for CATMoS models (inside/outside domain, OPERA)",ToxValDB (local SQLite),toxicity,8
AD_CATMoS,"Applicability-domain outcome for CATMoS models (inside/outside domain, OPERA)",ToxValDB (local SQLite),chronic toxicity,8
AD_CERAPP_Ago,"Applicability-domain outcome for CERAPP_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),reproduction developmental,32156
AD_CERAPP_Ago,"Applicability-domain outcome for CERAPP_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),developmental,9676
AD_CERAPP_Ago,"Applicability-domain outcome for CERAPP_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),uterotrophic,771
AD_CERAPP_Ago,"Applicability-domain outcome for CERAPP_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro,618
AD_CERAPP_Ago,"Applicability-domain outcome for CERAPP_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),hershberger,526
AD_CERAPP_Ago,"Applicability-domain outcome for CERAPP_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),reproductive,194
AD_CERAPP_Ago,"Applicability-domain outcome for CERAPP_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),two generation reproductive toxicity,86
AD_CERAPP_Ago,"Applicability-domain outcome for CERAPP_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),one generation reproductive toxicity,73
AD_CERAPP_Ago,"Applicability-domain outcome for CERAPP_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),screening for reproductive developmental toxicity,58
AD_CERAPP_Ago,"Applicability-domain outcome for CERAPP_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro microbiological,35
AD_CERAPP_Ago,"Applicability-domain outcome for CERAPP_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),developmental toxicity,25
AD_CERAPP_Ago,"Applicability-domain outcome for CERAPP_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),"subchronic, developmental reproductive",10
AD_CERAPP_Anta,"Applicability-domain outcome for CERAPP_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),reproduction developmental,32156
AD_CERAPP_Anta,"Applicability-domain outcome for CERAPP_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),developmental,9676
AD_CERAPP_Anta,"Applicability-domain outcome for CERAPP_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),uterotrophic,771
AD_CERAPP_Anta,"Applicability-domain outcome for CERAPP_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro,618
AD_CERAPP_Anta,"Applicability-domain outcome for CERAPP_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),hershberger,526
AD_CERAPP_Anta,"Applicability-domain outcome for CERAPP_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),reproductive,194
AD_CERAPP_Anta,"Applicability-domain outcome for CERAPP_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),two generation reproductive toxicity,86
AD_CERAPP_Anta,"Applicability-domain outcome for CERAPP_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),one generation reproductive toxicity,73
AD_CERAPP_Anta,"Applicability-domain outcome for CERAPP_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),screening for reproductive developmental toxicity,58
AD_CERAPP_Anta,"Applicability-domain outcome for CERAPP_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro microbiological,35
AD_CERAPP_Anta,"Applicability-domain outcome for CERAPP_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),developmental toxicity,25
AD_CERAPP_Anta,"Applicability-domain outcome for CERAPP_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),"subchronic, developmental reproductive",10
AD_CERAPP_Bind,"Applicability-domain outcome for CERAPP_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),reproduction developmental,32156
AD_CERAPP_Bind,"Applicability-domain outcome for CERAPP_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),developmental,9676
AD_CERAPP_Bind,"Applicability-domain outcome for CERAPP_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),uterotrophic,771
AD_CERAPP_Bind,"Applicability-domain outcome for CERAPP_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro,618
AD_CERAPP_Bind,"Applicability-domain outcome for CERAPP_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),hershberger,526
AD_CERAPP_Bind,"Applicability-domain outcome for CERAPP_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),reproductive,194
AD_CERAPP_Bind,"Applicability-domain outcome for CERAPP_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),two generation reproductive toxicity,86
AD_CERAPP_Bind,"Applicability-domain outcome for CERAPP_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),one generation reproductive toxicity,73
AD_CERAPP_Bind,"Applicability-domain outcome for CERAPP_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),screening for reproductive developmental toxicity,58
AD_CERAPP_Bind,"Applicability-domain outcome for CERAPP_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro microbiological,35
AD_CERAPP_Bind,"Applicability-domain outcome for CERAPP_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),developmental toxicity,25
AD_CERAPP_Bind,"Applicability-domain outcome for CERAPP_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),"subchronic, developmental reproductive",10
AD_Clint,"Applicability-domain outcome for Clint models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro,618
AD_Clint,"Applicability-domain outcome for Clint models (inside/outside domain, OPERA)",ToxValDB (local SQLite),clinical,154
AD_Clint,"Applicability-domain outcome for Clint models (inside/outside domain, OPERA)",ToxValDB (local SQLite),occupational,75
AD_Clint,"Applicability-domain outcome for Clint models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro microbiological,35
AD_Clint,"Applicability-domain outcome for Clint models (inside/outside domain, OPERA)",ToxValDB (local SQLite),clinical (double blind),5
AD_CoMPARA_Ago,"Applicability-domain outcome for CoMPARA_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),reproduction developmental,32156
AD_CoMPARA_Ago,"Applicability-domain outcome for CoMPARA_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),developmental,9676
AD_CoMPARA_Ago,"Applicability-domain outcome for CoMPARA_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),uterotrophic,771
AD_CoMPARA_Ago,"Applicability-domain outcome for CoMPARA_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro,618
AD_CoMPARA_Ago,"Applicability-domain outcome for CoMPARA_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),hershberger,526
AD_CoMPARA_Ago,"Applicability-domain outcome for CoMPARA_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),reproductive,194
AD_CoMPARA_Ago,"Applicability-domain outcome for CoMPARA_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),two generation reproductive toxicity,86
AD_CoMPARA_Ago,"Applicability-domain outcome for CoMPARA_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),one generation reproductive toxicity,73
AD_CoMPARA_Ago,"Applicability-domain outcome for CoMPARA_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),screening for reproductive developmental toxicity,58
AD_CoMPARA_Ago,"Applicability-domain outcome for CoMPARA_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro microbiological,35
AD_CoMPARA_Ago,"Applicability-domain outcome for CoMPARA_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),developmental toxicity,25
AD_CoMPARA_Ago,"Applicability-domain outcome for CoMPARA_Ago models (inside/outside domain, OPERA)",ToxValDB (local SQLite),"subchronic, developmental reproductive",10
AD_CoMPARA_Anta,"Applicability-domain outcome for CoMPARA_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),reproduction developmental,32156
AD_CoMPARA_Anta,"Applicability-domain outcome for CoMPARA_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),developmental,9676
AD_CoMPARA_Anta,"Applicability-domain outcome for CoMPARA_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),uterotrophic,771
AD_CoMPARA_Anta,"Applicability-domain outcome for CoMPARA_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro,618
AD_CoMPARA_Anta,"Applicability-domain outcome for CoMPARA_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),hershberger,526
AD_CoMPARA_Anta,"Applicability-domain outcome for CoMPARA_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),reproductive,194
AD_CoMPARA_Anta,"Applicability-domain outcome for CoMPARA_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),two generation reproductive toxicity,86
AD_CoMPARA_Anta,"Applicability-domain outcome for CoMPARA_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),one generation reproductive toxicity,73
AD_CoMPARA_Anta,"Applicability-domain outcome for CoMPARA_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),screening for reproductive developmental toxicity,58
AD_CoMPARA_Anta,"Applicability-domain outcome for CoMPARA_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro microbiological,35
AD_CoMPARA_Anta,"Applicability-domain outcome for CoMPARA_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),developmental toxicity,25
AD_CoMPARA_Anta,"Applicability-domain outcome for CoMPARA_Anta models (inside/outside domain, OPERA)",ToxValDB (local SQLite),"subchronic, developmental reproductive",10
AD_CoMPARA_Bind,"Applicability-domain outcome for CoMPARA_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),reproduction developmental,32156
AD_CoMPARA_Bind,"Applicability-domain outcome for CoMPARA_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),developmental,9676
AD_CoMPARA_Bind,"Applicability-domain outcome for CoMPARA_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),uterotrophic,771
AD_CoMPARA_Bind,"Applicability-domain outcome for CoMPARA_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro,618
AD_CoMPARA_Bind,"Applicability-domain outcome for CoMPARA_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),hershberger,526
AD_CoMPARA_Bind,"Applicability-domain outcome for CoMPARA_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),reproductive,194
AD_CoMPARA_Bind,"Applicability-domain outcome for CoMPARA_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),two generation reproductive toxicity,86
AD_CoMPARA_Bind,"Applicability-domain outcome for CoMPARA_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),one generation reproductive toxicity,73
AD_CoMPARA_Bind,"Applicability-domain outcome for CoMPARA_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),screening for reproductive developmental toxicity,58
AD_CoMPARA_Bind,"Applicability-domain outcome for CoMPARA_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro microbiological,35
AD_CoMPARA_Bind,"Applicability-domain outcome for CoMPARA_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),developmental toxicity,25
AD_CoMPARA_Bind,"Applicability-domain outcome for CoMPARA_Bind models (inside/outside domain, OPERA)",ToxValDB (local SQLite),"subchronic, developmental reproductive",10
AD_FUB,"Applicability-domain outcome for FUB models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro,618
AD_FUB,"Applicability-domain outcome for FUB models (inside/outside domain, OPERA)",ToxValDB (local SQLite),clinical,154
AD_FUB,"Applicability-domain outcome for FUB models (inside/outside domain, OPERA)",ToxValDB (local SQLite),occupational,75
AD_FUB,"Applicability-domain outcome for FUB models (inside/outside domain, OPERA)",ToxValDB (local SQLite),in vitro microbiological,35
AD_FUB,"Applicability-domain outcome for FUB models (inside/outside domain, OPERA)",ToxValDB (local SQLite),clinical (double blind),5
AD_ReadyBiodeg,"Applicability-domain outcome for ReadyBiodeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),chronic,23305
AD_ReadyBiodeg,"Applicability-domain outcome for ReadyBiodeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),subchronic,17813
AD_ReadyBiodeg,"Applicability-domain outcome for ReadyBiodeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),short term,16262
AD_ReadyBiodeg,"Applicability-domain outcome for ReadyBiodeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),chronic long term,1756
AD_ReadyBiodeg,"Applicability-domain outcome for ReadyBiodeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),short term repeated dose toxicity,71
AD_ReadyBiodeg,"Applicability-domain outcome for ReadyBiodeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),sub chronic toxicity,42
AD_ReadyBiodeg,"Applicability-domain outcome for ReadyBiodeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),subchronic prospective supplementation trial,12
AD_ReadyBiodeg,"Applicability-domain outcome for ReadyBiodeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),"subchronic, developmental reproductive",10
AD_ReadyBiodeg,"Applicability-domain outcome for ReadyBiodeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),chronic dietary,9
AD_ReadyBiodeg,"Applicability-domain outcome for ReadyBiodeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),chronic toxicity,8
AD_ReadyBiodeg,"Applicability-domain outcome for ReadyBiodeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),epidemiological (chronic),5
AD_ReadyBiodeg,"Applicability-domain outcome for ReadyBiodeg models (inside/outside domain, OPERA)",ToxValDB (local SQLite),case report of chronic self intoxication,5
AD_index_BioDeg,Applicability-domain distance index for BioDeg (lower = closer to training domain),ToxValDB (local SQLite),chronic,23305
AD_index_BioDeg,Applicability-domain distance index for BioDeg (lower = closer to training domain),ToxValDB (local SQLite),subchronic,17813
AD_index_BioDeg,Applicability-domain distance index for BioDeg (lower = closer to training domain),ToxValDB (local SQLite),short term,16262
AD_index_BioDeg,Applicability-domain distance index for BioDeg (lower = closer to training domain),ToxValDB (local SQLite),chronic long term,1756
AD_index_BioDeg,Applicability-domain distance index for BioDeg (lower = closer to training domain),ToxValDB (local SQLite),short term repeated dose toxicity,71
AD_index_BioDeg,Applicability-domain distance index for BioDeg (lower = closer to training domain),ToxValDB (local SQLite),sub chronic toxicity,42
AD_index_BioDeg,Applicability-domain distance index for BioDeg (lower = closer to training domain),ToxValDB (local SQLite),subchronic prospective supplementation trial,12
AD_index_BioDeg,Applicability-domain distance index for BioDeg (lower = closer to training domain),ToxValDB (local SQLite),"subchronic, developmental reproductive",10
AD_index_BioDeg,Applicability-domain distance index for BioDeg (lower = closer to training domain),ToxValDB (local SQLite),chronic dietary,9
AD_index_BioDeg,Applicability-domain distance index for BioDeg (lower = closer to training domain),ToxValDB (local SQLite),chronic toxicity,8
AD_index_BioDeg,Applicability-domain distance index for BioDeg (lower = closer to training domain),ToxValDB (local SQLite),epidemiological (chronic),5
AD_index_BioDeg,Applicability-domain distance index for BioDeg (lower = closer to training domain),ToxValDB (local SQLite),case report of chronic self intoxication,5
AD_index_CACO2,Applicability-domain distance index for CACO2 (lower = closer to training domain),ToxValDB (local SQLite),in vitro,618
AD_index_CACO2,Applicability-domain distance index for CACO2 (lower = closer to training domain),ToxValDB (local SQLite),clinical,154
AD_index_CACO2,Applicability-domain distance index for CACO2 (lower = closer to training domain),ToxValDB (local SQLite),occupational,75
AD_index_CACO2,Applicability-domain distance index for CACO2 (lower = closer to training domain),ToxValDB (local SQLite),in vitro microbiological,35
AD_index_CACO2,Applicability-domain distance index for CACO2 (lower = closer to training domain),ToxValDB (local SQLite),clinical (double blind),5
AD_index_CATMoS,Applicability-domain distance index for CATMoS (lower = closer to training domain),ToxValDB (local SQLite),acute,69869
AD_index_CATMoS,Applicability-domain distance index for CATMoS (lower = closer to training domain),ToxValDB (local SQLite),acute exposure guidelines,13475
AD_index_CATMoS,Applicability-domain distance index for CATMoS (lower = closer to training domain),ToxValDB (local SQLite),toxicity value,13018
AD_index_CATMoS,Applicability-domain distance index for CATMoS (lower = closer to training domain),ToxValDB (local SQLite),two generation reproductive toxicity,86
AD_index_CATMoS,Applicability-domain distance index for CATMoS (lower = closer to training domain),ToxValDB (local SQLite),one generation reproductive toxicity,73
AD_index_CATMoS,Applicability-domain distance index for CATMoS (lower = closer to training domain),ToxValDB (local SQLite),short term repeated dose toxicity,71
AD_index_CATMoS,Applicability-domain distance index for CATMoS (lower = closer to training domain),ToxValDB (local SQLite),screening for reproductive developmental toxicity,58
AD_index_CATMoS,Applicability-domain distance index for CATMoS (lower = closer to training domain),ToxValDB (local SQLite),sub chronic toxicity,42
AD_index_CATMoS,Applicability-domain distance index for CATMoS (lower = closer to training domain),ToxValDB (local SQLite),developmental toxicity,25
AD_index_CATMoS,Applicability-domain distance index for CATMoS (lower = closer to training domain),ToxValDB (local SQLite),neurotoxicity,18
AD_index_CATMoS,Applicability-domain distance index for CATMoS (lower = closer to training domain),ToxValDB (local SQLite),toxicity,8
AD_index_CATMoS,Applicability-domain distance index for CATMoS (lower = closer to training domain),ToxValDB (local SQLite),chronic toxicity,8
AD_index_CERAPP_Ago,Applicability-domain distance index for CERAPP_Ago (lower = closer to training domain),ToxValDB (local SQLite),reproduction developmental,32156
AD_index_CERAPP_Ago,Applicability-domain distance index for CERAPP_Ago (lower = closer to training domain),ToxValDB (local SQLite),developmental,9676
AD_index_CERAPP_Ago,Applicability-domain distance index for CERAPP_Ago (lower = closer to training domain),ToxValDB (local SQLite),uterotrophic,771
AD_index_CERAPP_Ago,Applicability-domain distance index for CERAPP_Ago (lower = closer to training domain),ToxValDB (local SQLite),in vitro,618
AD_index_CERAPP_Ago,Applicability-domain distance index for CERAPP_Ago (lower = closer to training domain),ToxValDB (local SQLite),hershberger,526
AD_index_CERAPP_Ago,Applicability-domain distance index for CERAPP_Ago (lower = closer to training domain),ToxValDB (local SQLite),reproductive,194
AD_index_CERAPP_Ago,Applicability-domain distance index for CERAPP_Ago (lower = closer to training domain),ToxValDB (local SQLite),two generation reproductive toxicity,86
AD_index_CERAPP_Ago,Applicability-domain distance index for CERAPP_Ago (lower = closer to training domain),ToxValDB (local SQLite),one generation reproductive toxicity,73
AD_index_CERAPP_Ago,Applicability-domain distance index for CERAPP_Ago (lower = closer to training domain),ToxValDB (local SQLite),screening for reproductive developmental toxicity,58
AD_index_CERAPP_Ago,Applicability-domain distance index for CERAPP_Ago (lower = closer to training domain),ToxValDB (local SQLite),in vitro microbiological,35
AD_index_CERAPP_Ago,Applicability-domain distance index for CERAPP_Ago (lower = closer to training domain),ToxValDB (local SQLite),developmental toxicity,25
AD_index_CERAPP_Ago,Applicability-domain distance index for CERAPP_Ago (lower = closer to training domain),ToxValDB (local SQLite),"subchronic, developmental reproductive",10
AD_index_CERAPP_Anta,Applicability-domain distance index for CERAPP_Anta (lower = closer to training domain),ToxValDB (local SQLite),reproduction developmental,32156
AD_index_CERAPP_Anta,Applicability-domain distance index for CERAPP_Anta (lower = closer to training domain),ToxValDB (local SQLite),developmental,9676
AD_index_CERAPP_Anta,Applicability-domain distance index for CERAPP_Anta (lower = closer to training domain),ToxValDB (local SQLite),uterotrophic,771
AD_index_CERAPP_Anta,Applicability-domain distance index for CERAPP_Anta (lower = closer to training domain),ToxValDB (local SQLite),in vitro,618
AD_index_CERAPP_Anta,Applicability-domain distance index for CERAPP_Anta (lower = closer to training domain),ToxValDB (local SQLite),hershberger,526
AD_index_CERAPP_Anta,Applicability-domain distance index for CERAPP_Anta (lower = closer to training domain),ToxValDB (local SQLite),reproductive,194
AD_index_CERAPP_Anta,Applicability-domain distance index for CERAPP_Anta (lower = closer to training domain),ToxValDB (local SQLite),two generation reproductive toxicity,86
AD_index_CERAPP_Anta,Applicability-domain distance index for CERAPP_Anta (lower = closer to training domain),ToxValDB (local SQLite),one generation reproductive toxicity,73
AD_index_CERAPP_Anta,Applicability-domain distance index for CERAPP_Anta (lower = closer to training domain),ToxValDB (local SQLite),screening for reproductive developmental toxicity,58
AD_index_CERAPP_Anta,Applicability-domain distance index for CERAPP_Anta (lower = closer to training domain),ToxValDB (local SQLite),in vitro microbiological,35
AD_index_CERAPP_Anta,Applicability-domain distance index for CERAPP_Anta (lower = closer to training domain),ToxValDB (local SQLite),developmental toxicity,25
AD_index_CERAPP_Anta,Applicability-domain distance index for CERAPP_Anta (lower = closer to training domain),ToxValDB (local SQLite),"subchronic, developmental reproductive",10
AD_index_CERAPP_Bind,Applicability-domain distance index for CERAPP_Bind (lower = closer to training domain),ToxValDB (local SQLite),reproduction developmental,32156
AD_index_CERAPP_Bind,Applicability-domain distance index for CERAPP_Bind (lower = closer to training domain),ToxValDB (local SQLite),developmental,9676
AD_index_CERAPP_Bind,Applicability-domain distance index for CERAPP_Bind (lower = closer to training domain),ToxValDB (local SQLite),uterotrophic,771
AD_index_CERAPP_Bind,Applicability-domain distance index for CERAPP_Bind (lower = closer to training domain),ToxValDB (local SQLite),in vitro,618
AD_index_CERAPP_Bind,Applicability-domain distance index for CERAPP_Bind (lower = closer to training domain),ToxValDB (local SQLite),hershberger,526
AD_index_CERAPP_Bind,Applicability-domain distance index for CERAPP_Bind (lower = closer to training domain),ToxValDB (local SQLite),reproductive,194
AD_index_CERAPP_Bind,Applicability-domain distance index for CERAPP_Bind (lower = closer to training domain),ToxValDB (local SQLite),two generation reproductive toxicity,86
AD_index_CERAPP_Bind,Applicability-domain distance index for CERAPP_Bind (lower = closer to training domain),ToxValDB (local SQLite),one generation reproductive toxicity,73
AD_index_CERAPP_Bind,Applicability-domain distance index for CERAPP_Bind (lower = closer to training domain),ToxValDB (local SQLite),screening for reproductive developmental toxicity,58
AD_index_CERAPP_Bind,Applicability-domain distance index for CERAPP_Bind (lower = closer to training domain),ToxValDB (local SQLite),in vitro microbiological,35
AD_index_CERAPP_Bind,Applicability-domain distance index for CERAPP_Bind (lower = closer to training domain),ToxValDB (local SQLite),developmental toxicity,25
AD_index_CERAPP_Bind,Applicability-domain distance index for CERAPP_Bind (lower = closer to training domain),ToxValDB (local SQLite),"subchronic, developmental reproductive",10
AD_index_Clint,Applicability-domain distance index for Clint (lower = closer to training domain),ToxValDB (local SQLite),in vitro,618
AD_index_Clint,Applicability-domain distance index for Clint (lower = closer to training domain),ToxValDB (local SQLite),clinical,154
AD_index_Clint,Applicability-domain distance index for Clint (lower = closer to training domain),ToxValDB (local SQLite),occupational,75
AD_index_Clint,Applicability-domain distance index for Clint (lower = closer to training domain),ToxValDB (local SQLite),in vitro microbiological,35
AD_index_Clint,Applicability-domain distance index for Clint (lower = closer to training domain),ToxValDB (local SQLite),clinical (double blind),5
AD_index_CoMPARA_Ago,Applicability-domain distance index for CoMPARA_Ago (lower = closer to training domain),ToxValDB (local SQLite),reproduction developmental,32156
AD_index_CoMPARA_Ago,Applicability-domain distance index for CoMPARA_Ago (lower = closer to training domain),ToxValDB (local SQLite),developmental,9676
AD_index_CoMPARA_Ago,Applicability-domain distance index for CoMPARA_Ago (lower = closer to training domain),ToxValDB (local SQLite),uterotrophic,771
AD_index_CoMPARA_Ago,Applicability-domain distance index for CoMPARA_Ago (lower = closer to training domain),ToxValDB (local SQLite),in vitro,618
AD_index_CoMPARA_Ago,Applicability-domain distance index for CoMPARA_Ago (lower = closer to training domain),ToxValDB (local SQLite),hershberger,526
AD_index_CoMPARA_Ago,Applicability-domain distance index for CoMPARA_Ago (lower = closer to training domain),ToxValDB (local SQLite),reproductive,194
AD_index_CoMPARA_Ago,Applicability-domain distance index for CoMPARA_Ago (lower = closer to training domain),ToxValDB (local SQLite),two generation reproductive toxicity,86
AD_index_CoMPARA_Ago,Applicability-domain distance index for CoMPARA_Ago (lower = closer to training domain),ToxValDB (local SQLite),one generation reproductive toxicity,73
